booking_id,passenger_id,flight_id,route_key,airline_key,date_key,status,seat_number,total_paid_amount,payment_count
B1000,P1591,AI192,382e870b93a9172b725c021a093b911d,1d96baf00ff457518c392cdbc36d081e,20250614,CANCELLED,3D,0.0,0
B1001,P1803,6F026,4c4c8887c010c37d7c415aee9e223b86,143c0deac2b49915503dd16a9f5462ba,20251102,CANCELLED,18A,0.0,0
B1002,P1083,SJ010,edec40d16277592f865f6f96d12c6237,fe10005e6631d2c82bc640a5b707027e,20250825,CANCELLED,30C,8593.08,2
B1003,P1364,AI069,dd9b7f73506b86ec79aa343e64a2fb35,1d96baf00ff457518c392cdbc36d081e,20251230,CONFIRMED,33A,0.0,0
B1004,P1885,UK003,bc77046451bd9d63487f804a25d5b6fc,d813685481e1e769c9968895601aa06a,20251002,PENDING,25C,12222.48,1
B1005,P1548,AI048,671c750b52cf4817ef2aa56f2ace75b0,1d96baf00ff457518c392cdbc36d081e,20250831,CONFIRMED,13D,13378.9,1
B1006,P1341,AI140,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20250629,CANCELLED,17F,14980.37,1
B1007,P1838,UK167,317ae26badc5745d08250ee7a733dd0c,d813685481e1e769c9968895601aa06a,20260312,CONFIRMED,22E,0.0,0
B1008,P1406,AI245,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20250907,PENDING,34F,0.0,0
B1009,P1424,SJ158,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20250428,CANCELLED,33C,0.0,0
B1010,P1743,AI155,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20251124,CONFIRMED,15B,0.0,0
B1011,P1092,AI179,c9d4324c50c5e70095cd3e0446bcbd2d,1d96baf00ff457518c392cdbc36d081e,20251025,CONFIRMED,22C,2115.18,1
B1012,P1847,AI137,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20250815,PENDING,28B,23702.39,3
B1013,P1613,SJ001,127ab6733de551c1aea35612b818c8d5,fe10005e6631d2c82bc640a5b707027e,20250720,CONFIRMED,26E,1176.33,1
B1014,P1411,SJ172,671c750b52cf4817ef2aa56f2ace75b0,fe10005e6631d2c82bc640a5b707027e,20250915,PENDING,21E,0.0,0
B1015,P1431,UK094,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20251021,UNKNOWN,6F,19609.66,2
B1016,P1677,UK027,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20260113,CANCELLED,6A,23800.77,2
B1017,P1158,UK067,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20260404,CONFIRMED,13B,0.0,0
B1018,P1013,6F196,edec40d16277592f865f6f96d12c6237,143c0deac2b49915503dd16a9f5462ba,20260325,CANCELLED,19B,2588.63,1
B1019,P1372,6F164,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20250731,CANCELLED,19A,18621.0,2
B1020,P1224,SJ112,bc77046451bd9d63487f804a25d5b6fc,fe10005e6631d2c82bc640a5b707027e,20251206,CONFIRMED,27B,8150.35,1
B1021,P1504,6F190,317ae26badc5745d08250ee7a733dd0c,143c0deac2b49915503dd16a9f5462ba,20251207,CANCELLED,4E,6949.93,1
B1022,P1072,AI080,225fb0760ffcd1233b1e4a61a511e724,1d96baf00ff457518c392cdbc36d081e,20260325,CONFIRMED,16F,0.0,0
B1023,P1248,6F213,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20260203,PENDING,24B,13057.27,1
B1024,P1510,AI115,71ffb94c38439501b7cb7532b20299ce,1d96baf00ff457518c392cdbc36d081e,20250621,PENDING,30F,4857.79,1
B1025,P1602,SJ049,671c750b52cf4817ef2aa56f2ace75b0,fe10005e6631d2c82bc640a5b707027e,20260318,PENDING,1B,36122.96,3
B1026,P1215,AI058,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20250627,CONFIRMED,32C,13204.36,2
B1027,P1972,UK036,cae609ae5d68de9a8792d0e2117d4ded,d813685481e1e769c9968895601aa06a,20250725,CONFIRMED,22A,7503.17,1
B1028,P1601,SJ239,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20250525,CANCELLED,26E,0.0,0
B1029,P1540,6F025,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20250606,CANCELLED,19C,0.0,0
B1030,P1946,6F236,04f5fd88e0d3bf5692833a97649697b6,143c0deac2b49915503dd16a9f5462ba,20260318,CANCELLED,21E,0.0,0
B1031,P1816,AI060,96cabcf3c0a98d19c08ef1c8eeba1154,1d96baf00ff457518c392cdbc36d081e,20251116,CANCELLED,1E,7056.42,1
